"max_depth","iter","train_auc_mean","test_auc_mean"
1,1,0.6112128,0.6112082
1,2,0.6112128,0.6112082
1,3,0.652202,0.6522002
1,4,0.652202,0.6522002
1,5,0.7045394,0.7045372
1,6,0.7239974,0.7239926
1,7,0.723285,0.7232816
1,8,0.723285,0.7232816
1,9,0.723285,0.7232816
1,10,0.737967,0.737965
1,11,0.7468966,0.7467484
1,12,0.7540502,0.7539254
1,13,0.7612486,0.7611204
1,14,0.7716178,0.7714804
1,15,0.7655972,0.7654356
1,16,0.7685682,0.7684588
1,17,0.7724434,0.7723356
1,18,0.776504,0.7764032
1,19,0.7778894,0.7777492
1,20,0.7778548,0.7777136
1,21,0.7800606,0.7797544
1,22,0.7814832,0.7812716
1,23,0.7833932,0.7830518
1,24,0.7848368,0.7843826
1,25,0.7827218,0.7822628
1,26,0.7838384,0.7834046
1,27,0.7848278,0.7843518
1,28,0.785601,0.7852658
1,29,0.786707,0.7863412
1,30,0.7875504,0.787207
1,31,0.7879028,0.7875596
1,32,0.7887258,0.788308
1,33,0.7881096,0.7876682
1,34,0.787826,0.7874704
1,35,0.788527,0.7881404
1,36,0.7891688,0.7887638
1,37,0.7894788,0.7890608
1,38,0.7898462,0.7893684
1,39,0.790323,0.789874
1,40,0.7908238,0.7904518
1,41,0.7912638,0.7909096
1,42,0.7913872,0.791008
1,43,0.7913546,0.79098
1,44,0.791748,0.7914078
1,45,0.7916812,0.7913204
1,46,0.7918184,0.791409
1,47,0.7922254,0.791795
1,48,0.7923576,0.7918574
1,49,0.792513,0.792017
1,50,0.7927596,0.7922742
1,51,0.7928684,0.792423
1,52,0.7931448,0.7927066
1,53,0.7933864,0.7930472
1,54,0.7936572,0.7933052
1,55,0.7938954,0.793557
1,56,0.7941016,0.7937534
1,57,0.794128,0.793766
1,58,0.7940986,0.7937406
1,59,0.7942108,0.7938616
1,60,0.7941954,0.793848
1,61,0.7942224,0.793869
1,62,0.7943126,0.7939364
1,63,0.7943488,0.7939408
1,64,0.794405,0.7940228
1,65,0.7945514,0.7941908
1,66,0.7946506,0.7942724
1,67,0.7946834,0.7943218
1,68,0.794784,0.7944136
1,69,0.7948856,0.7945256
1,70,0.7949438,0.7946032
1,71,0.7950636,0.7947044
1,72,0.7950958,0.794752
1,73,0.7951554,0.7947874
1,74,0.7952562,0.7949206
1,75,0.7953008,0.7949426
1,76,0.7954148,0.7950794
1,77,0.7954756,0.7951352
1,78,0.7955458,0.7951822
1,79,0.7955298,0.7951658
1,80,0.795562,0.7952008
1,81,0.7956188,0.7952668
1,82,0.7956886,0.7953294
1,83,0.795755,0.7953798
1,84,0.7958168,0.7954122
1,85,0.7958706,0.795474
1,86,0.7959612,0.7955622
1,87,0.7960094,0.7956004
1,88,0.7960458,0.7956326
1,89,0.796134,0.7957398
1,90,0.796208,0.7958092
1,91,0.7962782,0.7958914
1,92,0.796309,0.7959388
1,93,0.7963916,0.7960148
1,94,0.7964644,0.7961046
1,95,0.7965148,0.7961482
1,96,0.7965944,0.796219
1,97,0.796658,0.7962666
1,98,0.7966888,0.7963056
1,99,0.7967198,0.7963338
1,100,0.7967492,0.7963596
1,101,0.7968012,0.7964188
1,102,0.7968072,0.7964106
1,103,0.7968304,0.7964388
1,104,0.7968522,0.7964532
1,105,0.7969006,0.796503
1,106,0.796945,0.7965474
1,107,0.7970038,0.796607
1,108,0.7970378,0.7966402
1,109,0.7970622,0.7966798
1,110,0.7970846,0.796716
1,111,0.7971214,0.7967528
1,112,0.7971704,0.7967928
1,113,0.797215,0.7968442
1,114,0.7972398,0.7968598
1,115,0.7972858,0.7969068
1,116,0.7973224,0.796954
1,117,0.7973546,0.7969784
1,118,0.7973906,0.7970284
1,119,0.7974212,0.7970304
1,120,0.7974562,0.7970648
1,121,0.7974818,0.7970884
1,122,0.7975224,0.7971146
1,123,0.7975656,0.797162
1,124,0.7975976,0.7971862
1,125,0.7976324,0.7972284
1,126,0.7976576,0.7972632
1,127,0.7976824,0.797294
1,128,0.797711,0.797333
1,129,0.7977334,0.7973506
1,130,0.797765,0.7973876
1,131,0.797783,0.7974118
1,132,0.7978228,0.7974506
1,133,0.797833,0.7974688
1,134,0.7978742,0.797514
1,135,0.7978686,0.7975088
1,136,0.7978876,0.7975184
1,137,0.7978984,0.7975248
1,138,0.7979324,0.7975492
1,139,0.797952,0.7975618
1,140,0.7979708,0.7975822
1,141,0.7980106,0.797616
1,142,0.7980406,0.7976444
1,143,0.7980742,0.7976752
1,144,0.7981022,0.7977064
1,145,0.7981152,0.7977254
1,146,0.7981474,0.7977458
1,147,0.7981672,0.7977632
1,148,0.7981858,0.7977896
